,sales,device,QTR_IDX_SALES,QTR_IDX_PREV,replyCount_sum,retweetCount_sum,likeCount_sum,quoteCount_sum,sentiment_vader_sum,sentiment_tfidf_sum,sentiment_countvect_sum,sentiment_bert_sum,replyCount_mean,retweetCount_mean,likeCount_mean,quoteCount_mean,sentiment_vader_mean,sentiment_tfidf_mean,sentiment_countvect_mean,sentiment_bert_mean,iphone,ipad,sales_norm
53,9.67,ipad,2018_4,2018_3,428.0,454.0,4998.0,27.0,205.0,0.0,0.0,39.0,0.5631578947368421,0.5973684210526315,6.576315789473684,0.035526315789473684,0.2697368421052632,0.0,0.0,0.05131578947368421,0,1,-0.9064959698218313
54,4.02,mac,2012_2,2012_1,330.0,33.0,8.0,0.0,234.0,0.0,0.0,48.0,0.4583333333333333,0.04583333333333333,0.011111111111111113,0.0,0.325,0.0,0.0,0.06666666666666668,0,0,-0.9778032733343068
55,4.02,mac,2012_3,2012_2,262.0,50.0,41.0,0.0,175.0,0.0,0.0,15.0,0.3638888888888889,0.06944444444444445,0.056944444444444436,0.0,0.24305555555555555,0.0,0.0,0.02083333333333333,0,0,-0.9778032733343068
56,4.92,mac,2012_4,2012_3,349.0,32.0,53.0,0.0,191.0,0.0,0.0,38.0,0.4592105263157895,0.042105263157894736,0.06973684210526315,0.0,0.2513157894736842,0.0,0.0,0.05,0,0,0.48980756928605573
57,4.06,mac,2013_1,2012_4,292.0,83.0,62.0,0.0,130.0,0.0,0.0,0.0,0.4055555555555556,0.11527777777777777,0.08611111111111111,0.0,0.18055555555555555,0.0,0.0,0.0,0,0,-0.9125761247734018
58,3.95,mac,2013_2,2013_1,262.0,81.0,96.0,0.0,124.0,0.0,0.0,0.0,0.3638888888888889,0.1125,0.13333333333333333,0.0,0.17222222222222222,0.0,0.0,0.0,0,0,-1.0919507833158895
59,3.75,mac,2013_3,2013_2,223.0,62.0,153.0,0.0,155.0,0.0,0.0,0.0,0.30972222222222223,0.08611111111111111,0.2125,0.0,0.2152777777777778,0.0,0.0,0.0,0,0,-1.4180865261204147
60,4.57,mac,2013_4,2013_3,250.0,59.0,184.0,0.0,138.0,0.0,0.0,0.0,0.32894736842105265,0.07763157894736843,0.24210526315789474,0.0,0.18157894736842106,0.0,0.0,0.0,0,0,-0.08092998062186223
61,4.84,mac,2014_1,2013_4,231.0,65.0,212.0,0.0,158.0,0.0,0.0,18.0,0.32083333333333336,0.09027777777777778,0.29444444444444445,0.0,0.21944444444444444,0.0,0.0,0.025,0,0,0.3593532721642457
62,4.14,mac,2014_2,2014_1,238.0,56.0,229.0,0.0,130.0,0.0,0.0,0.0,0.33055555555555555,0.07777777777777778,0.31805555555555554,0.0,0.18055555555555555,0.0,0.0,0.0,0,0,-0.7821218276515917
63,4.41,mac,2014_3,2014_2,228.0,67.0,398.0,0.0,84.0,0.0,0.0,0.0,0.31666666666666665,0.09305555555555556,0.5527777777777778,0.0,0.11666666666666667,0.0,0.0,0.0,0,0,-0.34183857486548236
64,5.52,mac,2014_4,2014_3,238.0,52.0,358.0,0.0,143.0,0.0,0.0,22.0,0.3131578947368421,0.06842105263157895,0.4710526315789474,0.0,0.1881578947368421,0.0,0.0,0.02894736842105263,0,0,1.4682147976996298
65,5.52,mac,2015_1,2014_4,211.0,46.0,313.0,0.0,99.0,0.0,0.0,0.0,0.2930555555555556,0.06388888888888887,0.43472222222222223,0.0,0.1375,0.0,0.0,0.0,0,0,1.4682147976996298
66,4.56,mac,2015_2,2015_1,286.0,239.0,687.0,0.0,114.0,0.0,0.0,0.0,0.3972222222222222,0.33194444444444443,0.9541666666666668,0.0,0.15833333333333333,0.0,0.0,0.0,0,0,-0.09723676776208957
67,4.8,mac,2015_3,2015_2,234.0,182.0,674.0,0.0,131.0,0.0,0.0,0.0,0.325,0.25277777777777777,0.9361111111111112,0.0,0.18194444444444444,0.0,0.0,0.0,0,0,0.2941261236033406
68,5.71,mac,2015_4,2015_3,269.0,89.0,753.0,0.0,124.0,0.0,0.0,0.0,0.3539473684210526,0.11710526315789475,0.9907894736842106,0.0,0.1631578947368421,0.0,0.0,0.0,0,0,1.778043753363929
69,5.31,mac,2016_1,2015_4,286.0,65.0,504.0,1.0,155.0,0.0,0.0,17.0,0.3972222222222222,0.09027777777777778,0.7,0.0013888888888888892,0.2152777777777778,0.0,0.0,0.02361111111111111,0,0,1.1257722677548787
70,4.03,mac,2016_2,2016_1,264.0,74.0,498.0,0.0,112.0,0.0,0.0,0.0,0.36666666666666653,0.10277777777777776,0.6916666666666667,0.0,0.15555555555555556,0.0,0.0,0.0,0,0,-0.9614964861940795
71,4.25,mac,2016_3,2016_2,300.0,82.0,715.0,4.0,175.0,0.0,0.0,0.0,0.4166666666666667,0.11388888888888887,0.9930555555555556,0.005555555555555557,0.24305555555555555,0.0,0.0,0.0,0,0,-0.6027471691091025
72,4.89,mac,2016_4,2016_3,258.0,132.0,1247.0,39.0,181.0,0.0,0.0,38.0,0.3394736842105263,0.1736842105263158,1.6407894736842106,0.05131578947368421,0.2381578947368421,0.0,0.0,0.05,0,0,0.4408872078653766
73,5.37,mac,2017_1,2016_4,302.0,67.0,798.0,24.0,129.0,0.0,0.0,0.0,0.4194444444444445,0.09305555555555556,1.1083333333333334,0.03333333333333333,0.17916666666666667,0.0,0.0,0.0,0,0,1.223612990596237
74,4.2,mac,2017_2,2017_1,303.0,130.0,1384.0,29.0,134.0,0.0,0.0,0.0,0.4208333333333333,0.18055555555555555,1.9222222222222225,0.04027777777777778,0.18611111111111112,0.0,0.0,0.0,0,0,-0.6842811048102334
75,4.29,mac,2017_3,2017_2,317.0,241.0,2698.0,53.0,150.0,0.0,0.0,13.0,0.44027777777777777,0.3347222222222222,3.7472222222222222,0.07361111111111111,0.20833333333333331,0.0,0.0,0.018055555555555557,0,0,-0.5375200205481975
76,5.39,mac,2017_4,2017_3,371.0,73.0,1069.0,25.0,120.0,0.0,0.0,0.0,0.4881578947368421,0.09605263157894736,1.4065789473684212,0.03289473684210526,0.15789473684210525,0.0,0.0,0.0,0,0,1.2562265648766888
77,5.11,mac,2018_1,2017_4,420.0,98.0,1420.0,40.0,102.0,0.0,0.0,0.0,0.5833333333333334,0.1361111111111111,1.9722222222222223,0.05555555555555555,0.14166666666666666,0.0,0.0,0.0,0,0,0.799636524950355
78,4.08,mac,2018_2,2018_1,443.0,73.0,1065.0,31.0,179.0,0.0,0.0,0.0,0.6152777777777778,0.10138888888888888,1.4791666666666667,0.04305555555555556,0.2486111111111111,0.0,0.0,0.0,0,0,-0.8799625504929485
79,3.72,mac,2018_3,2018_2,399.0,116.0,1210.0,35.0,106.0,0.0,0.0,0.0,0.5541666666666667,0.16111111111111112,1.6805555555555556,0.04861111111111111,0.14722222222222225,0.0,0.0,0.0,0,0,-1.467006887541093
80,5.3,mac,2018_4,2018_3,1200.0,274.0,5655.0,74.0,118.0,0.0,0.0,0.0,1.5789473684210529,0.3605263157894737,7.440789473684211,0.09736842105263158,0.15526315789473685,0.0,0.0,0.0,0,0,1.1094654806146529
